N° de frame,Timestamp relativo a la grabación capturado en interrup,Timestamp absoluto del sistema (opcional) capturado en interrup,idx fotograma asignado por API camara,toma del tiempo absoluto del inicio de la grabación,tiempo en el que se avisa al micro que se inicia la grabación
1,0.091252,0.11094284057617188,12,1743704897.544262,0.10026288032531738
2,20.092565,20.11653995513916,2463,1743704897.544262,0.10026288032531738
3,40.110467,40.12908744812012,4916,1743704897.544262,0.10026288032531738
4,60.111778,60.13542628288269,7347,1743704897.544262,0.10026288032531738
5,80.121384,80.14113640785217,9799,1743704897.544262,0.10026288032531738
